authors,age,field
18,1,eco
80,2,eco
133,3,eco
169,4,eco
142,5,eco
78,6,eco
41,7,eco
23,8,eco
17,9,eco
5,1,edu
20,2,edu
46,3,edu
67,4,edu
50,5,edu
26,6,edu
13,7,edu
7,8,edu
4,9,edu
18,1,med
54,2,med
60,3,med
47,4,med
56,5,med
49,6,med
19,7,med
15,8,med
13,9,med
16,1,other
69,2,other
157,3,other
170,4,other
135,5,other
90,6,other
52,7,other
41,8,other
32,9,other
