article,authorid,age,field,sex
9,132,2,eco,2
2,132,2,other,2
5,132,3,eco,2
1,132,3,other,2
1,133,3,eco,1
12,134,4,edu,1
1,134,4,other,1
1,135,4,eco,1
5,136,3,other,1
1,136,4,other,1
1,137,2,eco,1
4,137,3,eco,1
1,138,4,eco,2
1,139,3,other,1
2,140,3,eco,1
1,140,3,other,1
2,141,6,eco,1
1,141,6,med,1
3,142,5,eco,1
2,143,3,eco,2
4,144,5,eco,1
3,144,6,eco,1
1,144,6,other,1
1,145,6,other,2
1,145,7,edu,2
1,146,4,eco,1
1,146,5,eco,1
1,147,6,eco,2
1,148,2,eco,1
1,149,5,eco,2
2,149,5,edu,2
1,149,5,other,2
3,150,5,edu,2
1,150,5,other,2
2,151,5,edu,2
1,151,6,eco,2
1,151,6,med,2
1,152,4,edu,2
1,153,6,other,1
1,153,7,eco,1
1,154,3,other,2
3,154,4,other,2
2,154,5,other,2
1,155,6,med,2
1,155,6,other,2
1,155,7,med,2
2,155,7,other,2
2,156,3,other,2
1,156,4,eco,2
3,156,4,med,2
13,156,4,other,2
1,157,3,other,1
1,157,4,other,1
2,158,4,other,2
2,159,2,other,2
1,160,2,med,1
4,161,3,other,1
1,161,4,edu,1
16,161,4,other,1
1,162,4,other,1
3,162,5,other,1
1,163,4,other,2
1,163,5,other,2
1,164,5,eco,1
1,164,6,eco,1
1,164,7,other,1
1,165,6,edu,2
1,166,4,other,2
1,167,3,edu,1
1,167,3,other,1
1,167,4,eco,1
1,167,4,other,1
1,168,3,edu,2
1,169,3,eco,2
4,169,3,other,2
1,170,2,other,1
2,171,6,other,1
1,172,3,other,1
1,173,5,edu,1
1,174,4,eco,2
1,175,5,eco,2
1,175,5,edu,2
3,176,5,eco,1
4,176,5,edu,1
1,176,5,other,1
2,177,4,eco,2
2,178,6,other,2
2,179,3,other,2
2,180,3,eco,1
2,180,3,other,1
2,181,3,edu,2
3,181,3,other,2
1,182,6,other,1
1,182,8,other,1
1,183,2,eco,1
2,184,2,eco,1
1,184,2,other,1
1,185,4,eco,1
1,186,2,eco,1
1,187,5,med,1
1,188,4,med,1
2,188,5,med,1
1,188,5,other,1
1,189,4,med,2
1,189,5,med,2
1,189,5,other,2
3,190,2,med,2
3,191,2,med,1
1,192,3,other,2
1,192,4,other,2
1,193,4,other,2
1,194,5,other,1
4,195,6,other,1
1,195,7,other,1
1,196,6,other,2
1,196,7,other,2
5,197,4,other,2
1,197,5,med,2
2,197,5,other,2
2,198,7,other,1
1,199,7,other,1
1,200,7,other,1
1,201,2,eco,2
1,202,4,eco,1
1,204,2,edu,2
1,205,2,eco,1
1,206,2,edu,2
1,206,2,other,2
1,207,5,edu,1
1,208,2,edu,2
1,208,3,edu,2
2,208,4,edu,2
1,210,2,other,1
2,211,4,eco,1
3,211,4,other,1
1,212,6,med,1
2,213,2,other,2
1,213,3,eco,2
3,213,3,other,2
1,214,3,eco,2
2,214,3,other,2
1,215,5,other,1
1,215,6,other,1
1,216,6,eco,1
2,216,6,other,1
1,217,8,other,1
1,217,9,other,1
1,218,3,other,1
1,219,3,med,2
1,219,3,other,2
9,219,4,med,2
2,219,4,other,2
2,220,3,eco,2
1,220,4,eco,2
1,221,7,eco,2
3,222,2,edu,2
4,222,3,edu,2
4,222,3,other,2
4,222,4,edu,2
3,222,4,other,2
1,223,4,edu,2
2,223,5,eco,2
3,223,5,edu,2
2,223,5,other,2
1,224,8,eco,1
1,225,4,eco,1
1,226,5,edu,1
2,226,6,edu,1
1,226,7,eco,1
2,227,4,eco,2
1,228,3,med,1
4,228,3,other,1
5,228,4,other,1
1,228,5,other,1
1,229,9,eco,1
2,229,9,other,1
1,230,8,other,2
1,231,7,other,1
1,232,4,other,2
1,233,4,other,1
2,234,8,other,1
1,235,2,other,1
1,236,3,med,1
1,236,4,med,1
1,236,5,eco,1
2,237,7,other,1
1,237,8,med,1
3,238,5,eco,2
4,239,4,eco,1
2,239,4,other,1
2,240,4,eco,1
2,240,5,eco,1
3,240,6,eco,1
2,241,5,eco,1
1,241,5,other,1
2,242,8,edu,1
2,242,9,eco,1
1,242,9,other,1
2,243,7,med,2
1,243,7,other,2
2,244,5,other,1
1,244,6,eco,1
1,244,6,med,1
1,244,6,other,1
3,245,4,eco,2
1,246,4,edu,1
1,246,4,other,1
3,247,5,med,2
1,247,6,edu,2
3,247,6,med,2
1,247,6,other,2
1,248,4,other,2
11,249,3,med,2
3,249,3,other,2
2,249,4,med,2
1,250,3,other,2
1,250,4,other,2
2,251,3,other,2
1,252,5,med,2
1,252,5,other,2
1,252,6,med,2
1,252,6,other,2
1,253,3,eco,1
1,254,2,eco,1
1,254,3,eco,1
2,255,3,med,2
1,256,4,eco,1
2,256,4,edu,1
1,257,5,edu,1
1,258,5,edu,2
1,259,4,eco,2
2,259,4,other,2
1,259,5,med,2
5,259,5,other,2
1,259,6,med,2
1,260,4,eco,2
1,260,4,other,2
2,260,5,med,2
6,260,5,other,2
1,260,6,eco,2
4,260,6,other,2
1,261,2,other,2
3,261,3,other,2
1,261,4,other,2
1,262,5,med,1
4,262,6,other,1
1,263,3,other,2
1,264,4,edu,2
3,265,4,other,2
1,265,5,edu,2
1,265,5,med,2
2,265,5,other,2
1,265,6,edu,2
2,265,6,other,2
1,266,2,edu,1
1,267,3,other,2
1,267,4,edu,2
3,267,4,other,2
1,268,3,other,2
1,268,4,edu,2
1,268,4,other,2
2,269,4,edu,2
1,269,5,edu,2
2,270,3,edu,2
1,270,3,other,2
2,270,4,other,2
1,270,5,edu,2
2,271,7,edu,1
5,272,2,eco,1
1,273,5,other,2
1,273,6,other,2
1,273,7,other,2
1,274,3,eco,1
1,274,4,eco,1
7,274,5,eco,1
1,275,2,other,2
1,276,2,other,2
2,276,3,other,2
1,277,8,eco,1
1,278,7,eco,1
2,278,7,med,1
1,279,2,eco,2
5,279,2,other,2
2,280,3,other,1
5,280,4,other,1
2,281,4,med,1
4,281,4,other,1
1,282,7,other,1
1,283,4,other,1
3,284,5,other,2
1,284,6,eco,2
11,284,6,other,2
2,285,3,other,1
3,286,3,edu,2
3,286,4,edu,2
1,287,3,other,2
1,288,6,eco,2
2,288,7,eco,2
1,289,6,other,2
2,289,8,other,2
5,290,9,other,1
2,291,3,other,2
3,291,4,other,2
1,291,5,eco,2
1,291,5,other,2
1,292,3,other,1
1,293,2,other,2
1,293,3,eco,2
5,293,3,other,2
1,293,4,other,2
2,294,3,other,2
1,295,3,other,2
1,295,4,other,2
1,296,3,other,1
2,296,4,eco,1
7,296,4,other,1
1,297,4,eco,1
1,297,5,eco,1
2,297,5,other,1
1,298,6,other,1
1,299,9,eco,1
1,299,9,other,1
2,300,3,other,2
1,301,2,edu,2
2,302,2,edu,2
8,302,3,edu,2
35,302,4,edu,2
2,302,4,other,2
1,303,3,edu,2
3,304,4,eco,2
1,304,4,other,2
2,304,5,eco,2
1,305,4,eco,1
2,305,4,other,1
2,305,5,eco,1
3,305,5,other,1
4,306,3,other,1
2,306,4,other,1
1,307,3,eco,1
2,307,3,other,1
1,308,4,other,1
1,309,6,eco,1
1,310,6,edu,1
1,311,4,edu,1
1,312,2,edu,2
1,313,3,edu,2
4,313,4,edu,2
2,314,2,edu,2
4,314,3,edu,2
1,314,3,other,2
5,315,3,edu,2
1,317,2,other,1
1,318,4,other,1
1,319,6,other,1
1,319,7,other,1
1,320,3,med,1
1,321,3,eco,1
6,321,4,eco,1
7,321,5,eco,1
1,322,4,med,2
1,323,3,eco,1
1,323,3,other,1
1,324,5,eco,1
1,324,5,other,1
1,325,5,eco,1
2,325,5,other,1
2,326,4,eco,1
1,326,4,other,1
7,326,5,eco,1
1,326,5,edu,1
2,328,4,eco,1
2,328,4,edu,1
8,328,4,other,1
3,328,5,eco,1
5,328,5,other,1
2,329,5,eco,1
1,329,5,other,1
1,330,4,eco,2
2,331,4,eco,1
1,331,5,eco,1
1,332,5,eco,2
4,333,4,other,1
1,333,5,eco,1
1,333,5,other,1
1,337,3,eco,2
1,338,1,eco,2
1,339,4,eco,2
1,339,5,eco,2
1,340,5,eco,1
1,341,7,other,1
1,342,9,other,1
1,343,2,eco,2
1,343,2,other,2
3,343,3,eco,2
2,343,3,other,2
1,344,4,eco,1
3,344,4,other,1
1,345,6,other,2
1,346,8,other,1
2,347,3,other,1
3,347,4,other,1
1,347,5,eco,1
4,347,5,other,1
1,348,6,other,1
1,348,7,other,1
1,349,7,other,1
1,350,4,other,2
1,351,6,med,1
1,352,4,eco,1
1,352,4,other,1
8,353,3,eco,1
1,353,3,edu,1
2,353,3,other,1
2,353,4,eco,1
1,353,4,edu,1
2,353,4,other,1
1,354,2,eco,1
1,355,5,eco,1
1,355,5,other,1
3,356,2,eco,1
1,357,4,eco,2
1,357,5,eco,2
1,358,2,eco,1
