avgage,sex,field
41.0531609195402,1,eco
41.0084745762712,1,edu
41.7805907172996,1,med
42.4237804878049,1,other
36.0292207792208,2,eco
36.8333333333333,2,edu
37.3136363636364,2,med
37.4428904428904,2,other
