article,authorid,field,sex
1,258,edu,2
1,259,eco,2
2,259,med,2
7,259,other,2
2,260,eco,2
2,260,med,2
11,260,other,2
5,261,other,2
1,262,med,1
4,262,other,1
1,263,other,2
1,264,edu,2
2,265,edu,2
1,265,med,2
7,265,other,2
1,266,edu,1
1,267,edu,2
4,267,other,2
1,268,edu,2
2,268,other,2
3,269,edu,2
3,270,edu,2
3,270,other,2
2,271,edu,1
5,272,eco,1
3,273,other,2
9,274,eco,1
1,275,other,2
3,276,other,2
1,277,eco,1
1,278,eco,1
2,278,med,1
1,279,eco,2
5,279,other,2
7,280,other,1
2,281,med,1
4,281,other,1
1,282,other,1
1,283,other,1
1,284,eco,2
14,284,other,2
2,285,other,1
6,286,edu,2
1,287,other,2
3,288,eco,2
3,289,other,2
5,290,other,1
1,291,eco,2
6,291,other,2
1,292,other,1
1,293,eco,2
7,293,other,2
2,294,other,2
2,295,other,2
2,296,eco,1
8,296,other,1
2,297,eco,1
2,297,other,1
1,298,other,1
1,299,eco,1
1,299,other,1
2,300,other,2
1,301,edu,2
45,302,edu,2
2,302,other,2
1,303,edu,2
5,304,eco,2
1,304,other,2
3,305,eco,1
5,305,other,1
6,306,other,1
1,307,eco,1
2,307,other,1
1,308,other,1
1,309,eco,1
1,310,edu,1
1,311,edu,1
1,312,edu,2
5,313,edu,2
6,314,edu,2
1,314,other,2
5,315,edu,2
1,317,other,1
1,318,other,1
2,319,other,1
1,320,med,1
14,321,eco,1
1,322,med,2
1,323,eco,1
1,323,other,1
1,324,eco,1
1,324,other,1
1,325,eco,1
2,325,other,1
9,326,eco,1
1,326,edu,1
1,326,other,1
5,328,eco,1
2,328,edu,1
13,328,other,1
2,329,eco,1
1,329,other,1
1,330,eco,2
3,331,eco,1
1,332,eco,2
1,333,eco,1
5,333,other,1
1,337,eco,2
1,338,eco,2
2,339,eco,2
1,340,eco,1
1,341,other,1
1,342,other,1
4,343,eco,2
3,343,other,2
1,344,eco,1
3,344,other,1
1,345,other,2
1,346,other,1
1,347,eco,1
9,347,other,1
2,348,other,1
1,349,other,1
1,350,other,2
1,351,med,1
1,352,eco,1
1,352,other,1
10,353,eco,1
2,353,edu,1
4,353,other,1
1,354,eco,1
1,355,eco,1
1,355,other,1
3,356,eco,1
2,357,eco,2
1,358,eco,1
1,359,eco,1
1,360,eco,1
2,361,eco,1
2,362,other,1
1,363,other,1
1,364,eco,1
1,365,other,1
1,366,other,1
1,367,other,1
1,368,other,2
1,369,eco,1
1,369,med,1
1,369,other,1
1,370,other,1
1,372,other,1
4,373,other,2
2,374,other,1
1,375,edu,1
4,376,edu,1
1,377,edu,1
2,378,edu,1
1,378,other,1
