article,jif,field
23,5,other
63,3,eco
89,3,other
30,4,med
1,8,eco
14,3,edu
143,2,other
97,0,med
602,0,eco
516,0,other
62,2,med
14,5,eco
35,2,edu
4,9,other
3,7,other
2,9,med
259,0,edu
2,7,eco
91,3,med
1,4,edu
11,6,other
15,5,med
156,2,eco
40,4,other
39,4,eco
1,6,eco
5,6,med
31,1,edu
1,8,other
1,8,med
106,1,other
133,1,eco
12,1,med
2,6,edu
