ViewCount,CtryCode,PostId
156,FR,4156
18,,1041
1273,VN,3141
4,,4304
1,EG,2118
1538,VN,1080
36,CA,2121
3,NO,1041
35,KR,2124
123,CN,4227
4,RO,1080
17,TH,1074
60,GB,4156
3,IE,2124
56,FR,4276
2,DK,4156
1,KH,1041
3,NO,1081
1,IT,1038
404,US,5507
230,FR,2135
3,IT,4221
18,,3139
12,BE,4304
7,BE,4227
9,NL,1080
1,FJ,1074
27,SG,1080
3,,1081
4,BE,1081
1,AP,2120
3,CN,2120
1,LU,1081
7,PH,2118
4,AT,1024
8,SE,2118
32,DE,1038
3,BE,1041
2,EE,3139
1,LU,4304
1,RO,3141
1,EE,2120
149,AU,4214
5,,2120
1,NO,4227
27,CN,1041
2,BE,3139
93,RU,2124
1,NP,2124
111,AU,4174
1,KH,1038
11,FI,1074
5,MY,2120
6,PT,1074
21,SG,3141
12,CH,1024
260,FR,1073
2,LA,1074
2,ES,2120
1,MZ,1108
5,BN,1024
7,IL,2135
71,GB,1073
1,NO,3139
6,CH,2120
1,AT,4221
154,KR,4214
49,CN,3139
1,KH,4227
12,SE,1108
4,TH,4326
4,PH,1108
105,RU,4214
1,CL,1108
3,CN,4304
37,TW,2120
92,AU,2121
1,BG,4156
1,CA,5507
104,RU,4174
36,IT,1024
73,CA,1073
13,FI,2121
146,DE,1024
1,EU,4326
50,AU,2124
1,NO,4304
3,IE,1074
2,AT,4304
1,HU,4214
6,DK,1108
1,UA,2134
1,ID,4276
6,IE,4174
1,NP,1073
81,GB,2135
9,,4276
68,CA,2135
49,TW,4304
21,GB,4276
8,FI,1108
2,HU,4174
1,SK,3141
1,GB,5507
11,NZ,4221
118,KR,4174
5,AP,2134
5,IL,1073
385,JP,1108
18,NZ,2120
59,CA,4156
8,NL,4174
7,,4156
1,HK,3139
2,,5507
1,KN,2135
1,BN,1108
5,MY,1073
6166,VN,2134
3,HK,1081
3,IE,3141
3,DK,4214
5,KH,4156
3,BE,2135
1178,VN,4221
2,EE,1073
1,MV,4227
58,TW,1074
1,HT,2118
207,JP,1074
2,HU,1080
1,PR,4221
1,LU,1080
103,RU,1080
39,TH,4156
1,HU,3141
79,KR,3141
592,VN,1038
3,GR,1024
1,IL,1108
745,US,3139
1,AT,2124
64,GB,1074
2,PL,2120
2,PL,3139
3,PK,4214
61,DE,2121
2,ES,1073
1,EU,1041
7,CH,2118
68,RU,3141
91,SG,2134
33,CA,3141
16,BE,4156
212,FR,1108
526,US,2120
6,NO,4156
1,KZ,1024
6,AT,2121
1,EU,1081
8,EE,2135
6,MY,4156
4,ID,2118
44,CN,4156
1,CM,1108
24,CZ,2135
6,,1073
5,IE,1080
14,BE,1073
20,SG,4221
3,NP,1080
8,SG,4304
119,,2135
83,DE,2118
1,BY,1024
1,AE,2134
3,CZ,1073
19,MY,2135
2,PL,1081
7,EC,4326
4,ES,2135
3,LA,2118
1,KH,5507
2992,VN,4304
2,HK,2120
1,PH,1074
73,TW,1080
5,SE,1074
341,US,1081
1,GE,4214
137,GB,4214
3,NL,4221
2,EE,1041
1,BZ,2135
2,IS,2134
40,DE,2124
3,IT,2121
1,CZ,1041
35,CN,1073
6,FI,4326
1,HK,4276
50,CA,2120
4,CZ,1074
40,SG,1074
2,BE,4326
3,TH,1038
22,CA,4221
2,CM,2134
4,EC,4304
24,CN,3141
85,TW,1073
17,CN,1080
8,LA,1081
12,MY,2134
1,ES,4174
7,KH,2134
3,RO,1108
113,RU,2118
7,CH,3141
2,LA,1080
4,PH,2121
12,BE,2120
4,MY,4221
19,IE,1108
255,AU,1108
3,NP,1108
5,PH,4156
1,AP,4304
67,GB,2118
2,MY,4304
1,IN,1080
11,FI,4174
48,DE,1081
7,TH,4174
1,MY,1041
28,DE,3139
3,,4227
4,IL,1024
769,US,2135
1,PT,4214
4,SE,2121
6,CZ,2134
22,CH,4227
9,IT,2120
2,SI,2135
8,DK,2118
1,IT,3139
4,DK,2121
36,AR,2135
14,NO,1024
938,US,1073
34,GB,2121
2,ES,4221
69,DE,2120
4,,4221
2,NL,4326
17,CN,1024
1,BN,1073
182,RU,1108
1,KH,2120
9,CN,1038
3,CZ,2120
2245,VN,4326
13,FI,4214
1,AP,1038
1,CH,1041
10,NZ,4227
7,BE,4221
124,KR,2121
122,JP,2121
8,ES,2134
875,US,2118
1,EE,1038
1,ME,2135
375,JP,2118
202,JP,4156
4,EE,4221
5,SG,4326
2,AT,4276
1,KH,4221
3,IT,4304
4,MY,4227
22,TH,4214
1,CM,2118
10,GE,2135
10,SE,4156
3,,1038
5,EE,2134
1,ID,1041
3,AE,1074
2,AT,1081
1,LU,1024
1,KE,2134
1,SA,2120
241,FR,1024
4,,1024
102,RU,1074
11,TH,1080
2,ID,5507
2,IR,2135
5,HK,2134
1,CM,4227
589,JP,2124
3,CN,4221
442,US,2121
19,TW,3139
92,DE,1073
10,HU,1108
3,DO,2135
2,FI,2124
1,MX,1073
3,LB,2135
81,FR,4227
2,TW,1038
2,ID,2135
1,BR,4214
9,KH,1024
1,AL,1073
17,TW,4221
10,NL,1074
22,BE,2134
1,CR,2118
1,EU,1080
12,CN,2134
3,NZ,1081
1,MX,4156
1,NG,4156
2,MO,1108
6,NZ,4304
2,CH,4304
1,SE,2124
1,HR,2135
2,TR,1024
3,AL,2135
1,BG,1073
9,MY,1024
4,NZ,1041
3,AE,1108
3,CH,1081
35,DE,4276
30,PL,2134
1,UZ,4214
1,MX,2135
5,IT,4227
15,CA,4276
2,CH,4221
106,FR,1041
6,PT,4326
5,IT,1041
1,IL,2118
10,NO,2120
5,NL,4214
29,TW,1081
26,NZ,3139
1,SA,1081
1,PH,2124
5,AT,2120
54,BG,2135
31,TW,1041
1,LB,4156
296,KR,1108
77,CA,2118
283,US,2124
5,NO,4221
7,TH,3141
10,IE,4214
1003,VN,3139
9,NO,2118
15,NL,2120
1,HK,4221
170,KR,1074
20,NZ,2121
4,ID,4156
8,PL,1041
16,CN,2118
35,GB,4174
7,CA,4326
5,DK,1074
10,MY,2118
34,CA,1080
2,EU,1024
1,MX,2124
1,RO,2134
3,CZ,5507
5,DK,4174
2,HK,4227
5,IT,2135
13,DE,5507
2,IE,4326
21,BE,2118
5,HK,4304
1,AM,2135
1,SA,1024
1655,VN,2120
7,PL,4221
2,LA,2121
1,KE,4221
9,KR,4326
125,KR,1080
8,NL,1081
4,NZ,2124
476,US,4221
1,ZA,1108
36,TH,2118
2,PH,4214
22,SE,4214
3,IT,5507
345,US,1038
4,,2118
3,SE,4174
264,DE,2135
17,CN,2121
2,MX,2121
4,CH,2124
1,CZ,4276
5,HU,1074
1,PH,4174
47,RU,4326
7,NL,4304
1,TZ,1024
140,FR,4214
4,KH,4276
4,IN,2134
1,EU,4227
4,NO,2121
9,SG,3139
1,HK,1041
81,DE,4156
1,TR,1080
1,BE,5507
1,KE,4304
1,TR,3141
158,JP,4214
994,US,1041
7,TH,2121
6,KH,2118
28,TW,3141
35,CA,1074
8,PL,4304
2,AP,4156
88,JP,4174
5,CH,2121
328,US,4304
1,MM,2134
8,TW,4326
11,IT,1073
2,NL,3139
2,UA,4326
12,AT,1073
7,IT,4156
2,SE,3141
2,MX,4214
3,DK,1080
2,PR,4227
1,PH,3141
4,IN,1041
771,US,1024
899,VN,1081
6,AT,2118
14,,1108
21,NL,2134
7,SG,1038
2,EE,1081
39,CA,4174
281,US,4276
75,AU,3141
99,AU,1080
53,TH,1108
1542,VN,1041
1,ZA,4214
55,CN,2135
2,IN,2120
1,ES,1041
6,FI,1080
22,SG,4227
1,ID,1108
25,NO,1073
326,JP,4326
2,CZ,4227
1,PT,4221
3,RO,1081
2,AP,1024
3,NO,5507
12,MY,1108
74,GB,1108
1,TN,2124
1,HT,2121
1,EU,4304
56,CA,4214
8,LA,1108
19,NZ,2118
1,MM,2120
1,IN,3139
1,BJ,1024
1,SA,2118
1,BY,2134
13,IT,2118
1094,VN,4227
5,NO,2135
1,NZ,4276
2,CZ,1081
1,IL,1074
5,SG,1041
1,EU,3139
1,SA,1073
2,EU,2120
1,MO,1080
5,IT,2124
4,PL,4227
1,BE,4276
6,PL,1024
2,ES,1024
6,TH,2124
111,FR,2121
28,CH,2135
34,SG,2120
1,MM,4304
1,LA,4214
1,KH,2121
1,IN,1038
33,CN,4276
1,MY,2124
35,NZ,4156
5,,2124
7,FI,3141
55,AU,4326
13,GB,2124
1,EE,1024
138,JP,1080
6,CH,4156
1,LK,4156
2,TR,2134
120,AU,1074
3121,VN,1024
8,HK,1024
1,GR,4304
517,JP,3141
2,SE,1080
164,FR,2118
1,KE,1024
26,NZ,1073
8,AT,4156
1,UZ,2135
2,IN,4221
406,US,4227
1,MN,2134
1,GR,1041
192,MD,2135
98,DE,1108
1,AR,1108
27,SG,1081
10,CH,1073
4,MY,2121
74,CA,1108
4,RO,2120
35,BE,1024
28,AT,2135
2,IN,4304
1,SA,4156
74,FR,2124
3,EU,2134
1,CR,1080
60,SG,1024
1,DK,3141
3,NO,4276
2,IN,4227
3,NZ,5507
1,CZ,1024
24,AT,5507
1,EU,1038
3,EE,4227
1,LU,2134
1,EU,4221
1,RO,4221
22,KZ,2135
4,,2121
